supplier_item_id,supplier_id,name_raw,name_norm,super_class_db,super_class_runtime,sc_confidence,brand_id_db,brand_from_text,pack_db,pack_runtime,price,data_issues
9b946840-377b-4320-a0b2-e68ac2f5d2c8,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,GRANOLIVA Масло оливковое рафинированное ПОМАС 1л ПЭТ,granoliva масло оливковое рафинированное помас пэт,staples.масло.оливковое,staples.масло.оливковое,1.0,,,1.0,1.0,500.44,NO_BRAND
ecb78ebc-8010-487c-aa63-d8c09aa88e2c,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,"МАСЛО Кунжутное 1,8 л. BG",масло кунжутное bg,other,oils.sesame,1.0,,,1.8,1.8,908.5,SUPER_CLASS_OTHER|NO_BRAND
2767e753-3e33-4f42-ba88-54aa076f5efd,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,"МАСЛО кунжутное 1,8 л. REAL TANG",масло кунжутное real tang,other,oils.sesame,1.0,,,1.8,1.8,1076.4,SUPER_CLASS_OTHER|NO_BRAND
a5e55e90-24c2-4e6a-b8c5-f60aa7eb2f84,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,МАСЛО оливковое трюфельное Extra Virgin 250 мл. MONINI,масло оливковое трюфельное extra virgin monini,staples.масло.оливковое,staples.масло.оливковое,1.0,monini,,0.25,0.25,680.51,OK
462aba90-2893-4d6c-9a82-a5cc1223191c,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,МАСЛО подсолнечное рафинированное 1 л. Sunny Gold,масло подсолнечное рафинированное sunny gold,staples.масло.подсолнечное,oils.sunflower,1.0,,,1.0,1.0,163.13,NO_BRAND
34cfdbf7-4e86-4312-b95a-2817e2a0b61f,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,МАСЛО подсолнечное рафинированное 5 л. Sunny Gold,масло подсолнечное рафинированное sunny gold,staples.масло.подсолнечное,oils.sunflower,1.0,,,5.0,5.0,768.76,NO_BRAND
8f758201-a126-4cd9-be31-7410325a2bab,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,МАСЛО подсолнечное рафинированное дезодорированное вымороженное фритюрное 5 л. SolPro,масло подсолнечное рафинированное дезодорированное вымороженное фритюрное solpro,staples.масло.подсолнечное,oils.frying,1.0,,,5.0,5.0,760.05,NO_BRAND
ffe063c5-3c74-4a23-bd47-1aea22cad065,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,МАСЛО подсолнечное рафинированное дезодорированное фритюрное 5 л. IFry,масло подсолнечное рафинированное дезодорированное фритюрное ifry,staples.масло.подсолнечное,oils.frying,1.0,,,5.0,5.0,831.25,NO_BRAND
3f738b6d-a138-40b4-99a4-96bb41723946,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,МАСЛО тыквенное из Штирии 500 мл. KOTANYI Gourmet,масло тыквенное из штирии kotanyi gourmet,other,oils.pumpkin,1.0,,,0.5,0.5,2070.09,SUPER_CLASS_OTHER|NO_BRAND
a095217c-823b-474c-bde0-dab38019d8a0,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,МАСЛО фритюрное  5 л. Sunny Gold,масло фритюрное sunny gold,other,oils.frying,1.0,,,5.0,5.0,862.5,SUPER_CLASS_OTHER|NO_BRAND
